,T,1/T,delta_freq,dd_freq,ed_freq,dt
1,200.0,5.0,5.000515988157894,0.032207924596606693,0.6440920231608248,0
2,500.0,2.0,1.999735832291667,0.0029648303622104755,0.1482611010081679,0
3,1000.0,1.0,0.9998832781443298,0.0034570297601549393,0.34574333181876943,0
4,1500.0,0.6666666666666666,0.66658885209622,0.001686083301355018,0.2529420190650949,0
5,2000.0,0.5,0.5001274050128535,0.0012926183123232228,0.258457804824753,0
6,2500.0,0.4,0.3999753164681725,0.0013972857912331815,0.3493430053562739,0
7,3000.0,0.3333333333333333,0.33337775976027395,0.0005713025115414044,0.1713679136701314,0
8,3500.0,0.2857142857142857,0.2857527075659824,0.0003201226820736276,0.11202787361155936,0
9,4000.0,0.25,0.25003384320512817,0.0007579457824515614,0.30313727643251137,0
10,4500.0,0.2222222222222222,0.22221590257696694,0.0007626379212589325,0.34319682453634676,0
11,5000.0,0.2,0.20002707457435895,0.0006048880794827545,0.3024031025649434,0

